Date,Home Team,Visit Team,Home Close OU,Total Runs,Over,Visit OPS 1,Visit OPS 2,Visit OPS 3,Visit OPS 4,Visit OPS 5,Visit OPS 6,Visit OPS 7,Visit OPS 8,Visit OPS 9,Visit ERA,Home OPS 1,Home OPS 2,Home OPS 3,Home OPS 4,Home OPS 5,Home OPS 6,Home OPS 7,Home OPS 8,Home OPS 9,Home ERA,Visit Runs scored,Visit Runs allowed,Visit Runs scored 1 games before,Visit Runs scored 2 games before,Visit Runs scored 3 games before,Visit Runs scored 4 games before,Visit Runs scored 5 games before,Visit Runs scored 6 games before,Visit Runs scored 7 games before,Visit Runs scored 8 games before,Visit Runs scored 9 games before,Visit Runs scored 10 games before,Home 10 game run scored average,Home Runs allowed 1 games before,Home Runs allowed 2 games before,Home Runs allowed 3 games before,Home Runs allowed 4 games before,Home Runs allowed 5 games before,Home Runs allowed 6 games before,Home Runs allowed 7 games before,Home Runs allowed 8 games before,Home Runs allowed 9 games before,Home Runs allowed 10 games before,Home 10 game run allowed average,Home Runs scored,Home Runs allowed,Home Runs scored 1 games before,Home Runs scored 2 games before,Home Runs scored 3 games before,Home Runs scored 4 games before,Home Runs scored 5 games before,Home Runs scored 6 games before,Home Runs scored 7 games before,Home Runs scored 8 games before,Home Runs scored 9 games before,Home Runs scored 10 games before,Home 10 game run scored average,Home Runs allowed 1 games before,Home Runs allowed 2 games before,Home Runs allowed 3 games before,Home Runs allowed 4 games before,Home Runs allowed 5 games before,Home Runs allowed 6 games before,Home Runs allowed 7 games before,Home Runs allowed 8 games before,Home Runs allowed 9 games before,Home Runs allowed 10 games before,Home 10 game run allowed average
803,ATL,NYM,8.0,9,1,0.8440000000000001,0.858,0.5479999999999999,0.805,0.948,0.927,0.875,0.59,0.929,3.86,0.649,1.005,0.799,1.115,0.93,0.642,1.015,0.441,0.25,7.5,7,2,0.0,1.0,10.0,2.0,5.0,8.0,7.0,1.0,3.0,1.0,3.8,4.0,7.0,11.0,4.0,6.0,3.0,4.0,14.0,5.0,0.0,3.8,2,7,4.0,7.0,11.0,2.0,7.0,2.0,5.0,14.0,5.0,0.0,5.7,0.0,1.0,10.0,1.0,4.0,5.0,14.0,1.0,3.0,1.0,5.7
804,SDG,LAD,8.0,7,0,0.705,0.777,0.7350000000000001,0.531,0.995,1.132,0.669,0.8560000000000001,0.688,5.19,0.997,1.0790000000000002,0.765,0.7709999999999999,1.114,1.045,0.833,0.112,0.391,2.65,5,2,4.0,3.0,11.0,3.0,6.0,4.0,5.0,1.0,4.0,9.0,5.0,5.0,0.0,2.0,5.0,3.0,2.0,2.0,3.0,5.0,1.0,5.0,2,5,5.0,6.0,1.0,8.0,12.0,5.0,6.0,3.0,5.0,7.0,5.8,4.0,9.0,6.0,7.0,7.0,3.0,2.0,4.0,1.0,2.0,5.8
804,SEA,LAA,9.0,8,0,1.223,0.762,0.222,0.438,0.753,0.237,0.92,0.438,0.7330000000000001,5.79,0.8740000000000001,0.6930000000000001,1.029,0.926,0.569,0.366,0.447,0.31,0.33399999999999996,9.39,5,3,5.0,5.0,6.0,5.0,7.0,10.0,0.0,4.0,4.0,3.0,4.9,6.0,4.0,9.0,8.0,10.0,2.0,3.0,6.0,1.0,7.0,4.9,3,5,1.0,2.0,2.0,5.0,8.0,10.0,2.0,5.0,7.0,2.0,4.4,11.0,3.0,3.0,3.0,5.0,7.0,10.0,8.0,6.0,7.0,4.4
804,CUB,KAN,8.0,9,1,0.889,0.8909999999999999,0.8029999999999999,0.6609999999999999,0.45,0.677,0.5880000000000001,0.603,0.6539999999999999,4.11,0.6599999999999999,0.932,0.773,0.919,0.7979999999999999,0.975,0.442,0.6409999999999999,1.016,1.38,4,5,0.0,2.0,5.0,2.0,5.0,4.0,3.0,14.0,2.0,3.0,4.0,2.0,9.0,11.0,3.0,3.0,5.0,4.0,6.0,9.0,2.0,4.0,5,4,2.0,2.0,4.0,6.0,7.0,8.0,8.0,9.0,3.0,3.0,5.2,0.0,1.0,3.0,3.0,12.0,5.0,7.0,1.0,8.0,0.0,5.2
804,TAM,BOS,8.0,6,0,1.0190000000000001,0.645,0.65,1.038,1.0859999999999999,0.516,1.0,0.7090000000000001,0.5760000000000001,6.35,0.716,1.3239999999999998,0.5429999999999999,0.762,0.984,0.857,0.85,0.516,0.2,0.0,1,5,7.0,2.0,1.0,4.0,6.0,3.0,4.0,4.0,2.0,13.0,4.6,9.0,5.0,5.0,2.0,5.0,8.0,7.0,7.0,7.0,2.0,4.6,5,1,1.0,4.0,3.0,1.0,4.0,5.0,14.0,6.0,4.0,4.0,4.6,5.0,5.0,6.0,2.0,7.0,2.0,5.0,5.0,1.0,6.0,4.6
804,CIN,CLE,8.0,6,0,0.732,0.8909999999999999,0.7829999999999999,0.6499999999999999,0.394,0.237,0.214,0.368,0.111,1.8,0.579,0.956,1.374,0.943,0.363,0.363,0.87,0.5,0.718,0.96,4,2,2.0,1.0,0.0,1.0,2.0,0.0,4.0,5.0,9.0,2.0,2.6,3.0,3.0,3.0,4.0,0.0,4.0,3.0,3.0,2.0,3.0,2.6,2,4,3.0,4.0,4.0,2.0,12.0,5.0,7.0,2.0,4.0,7.0,5.0,2.0,0.0,3.0,7.0,7.0,8.0,8.0,3.0,6.0,1.0,5.0
804,MIN,PIT,8.5,10,1,0.6709999999999999,0.516,0.489,0.5539999999999999,0.464,0.899,0.466,0.439,0.313,4.76,0.5820000000000001,0.52,1.072,0.5329999999999999,0.8839999999999999,0.852,0.6859999999999999,0.192,0.5,3.12,3,7,4.0,1.0,3.0,3.0,0.0,8.0,5.0,5.0,1.0,4.0,3.4,5.0,2.0,4.0,6.0,3.0,6.0,6.0,1.0,9.0,5.0,3.4,7,3,5.0,3.0,3.0,4.0,0.0,3.0,6.0,14.0,3.0,10.0,5.1,4.0,1.0,0.0,1.0,2.0,0.0,3.0,2.0,10.0,5.0,5.1
805,COL,SFO,11.5,7,0,1.116,0.964,0.5429999999999999,0.8909999999999999,0.315,0.649,0.505,0.5489999999999999,0.481,5.27,0.6679999999999999,1.071,0.907,0.7310000000000001,0.923,0.994,0.7040000000000001,0.747,0.379,1.89,4,3,2.0,6.0,5.0,7.0,9.0,7.0,3.0,3.0,5.0,1.0,4.8,5.0,7.0,9.0,3.0,2.0,12.0,5.0,1.0,4.0,9.0,4.8,3,4,5.0,7.0,9.0,6.0,7.0,5.0,8.0,5.0,3.0,0.0,5.5,2.0,6.0,6.0,1.0,8.0,1.0,3.0,2.0,2.0,1.0,5.5
805,KAN,CUB,9.0,7,0,0.30300000000000005,1.265,0.8909999999999999,0.7290000000000001,1.014,0.368,0.865,0.6459999999999999,0.812,4.05,0.974,0.895,0.677,0.44,0.7440000000000001,0.624,0.5640000000000001,0.7709999999999999,0.0,4.15,6,1,5.0,2.0,2.0,4.0,6.0,7.0,8.0,8.0,9.0,3.0,5.4,4.0,0.0,1.0,3.0,3.0,12.0,5.0,7.0,1.0,8.0,5.4,1,6,4.0,0.0,2.0,5.0,2.0,5.0,4.0,3.0,14.0,2.0,4.1,5.0,2.0,9.0,11.0,3.0,3.0,5.0,4.0,6.0,9.0,4.1
805,SEA,LAA,9.0,13,1,0.942,0.931,0.745,1.001,0.667,0.696,0.5,0.768,0.581,2.35,0.8280000000000001,0.732,1.006,0.92,0.752,0.409,0.633,1.0,0.4270000000000001,6.43,6,7,5.0,5.0,5.0,6.0,5.0,7.0,10.0,0.0,4.0,4.0,5.1,3.0,6.0,4.0,9.0,8.0,10.0,2.0,3.0,6.0,1.0,5.1,7,6,3.0,1.0,2.0,2.0,5.0,8.0,10.0,2.0,5.0,7.0,4.5,5.0,11.0,3.0,3.0,3.0,5.0,7.0,10.0,8.0,6.0,4.5
